Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
horses_or_humans,lookAhead_improved,6,"{'sync_period': 5, 'slow_step_size': 0.24839667798947607}",76.5625,0.91796875,0.91796875,0.765625,0.825576782,0.802052379,8.079597235,0.153172016
horses_or_humans,lookAhead_improved,7,"{'sync_period': 1, 'slow_step_size': 0.3251283626550285}",80.078125,0.91796875,0.91796875,0.80078125,0.859222412,0.834718227,8.387004137,0.150057077
horses_or_humans,lookAhead_improved,8,"{'sync_period': 4, 'slow_step_size': 0.20892002765849219}",83.59375,0.96484375,0.96484375,0.8359375,0.901641846,0.888817489,8.274937153,0.227937698
horses_or_humans,lookAhead_improved,9,"{'sync_period': 4, 'slow_step_size': 0.4213887735135649}",81.640625,0.91796875,0.91796875,0.81640625,0.870101929,0.845618963,9.192331076,0.144716978
horses_or_humans,lookAhead_improved,10,"{'sync_period': 1, 'slow_step_size': 0.2087051495891408}",81.640625,0.9375,0.9375,0.81640625,0.884368896,0.864841759,8.34100771,0.153996229
horses_or_humans,baseline_model,1,"{'lr': 0.006632195524992081, 'epsilon': 5.744623852949512e-07}",85.15625,0.8984375,0.8984375,0.8515625,0.87953186,0.852151275,6.188928843,0.142958164
horses_or_humans,baseline_model,2,"{'lr': 0.0014659073113416103, 'epsilon': 0.0005193948515546665}",80.859375,0.88671875,0.88671875,0.80859375,0.844116211,0.814208686,6.91269803,0.138735294
horses_or_humans,baseline_model,3,"{'lr': 0.00041283473234679226, 'epsilon': 4.505247454278489e-05}",81.640625,0.92578125,0.92578125,0.81640625,0.876052856,0.852960587,6.950186729,0.145343781
horses_or_humans,baseline_model,4,"{'lr': 0.0001259914611062811, 'epsilon': 2.2066791184404324e-06}",82.8125,0.94921875,0.94921875,0.828125,0.878036499,0.863978326,6.991291046,0.146575212
horses_or_humans,baseline_model,5,"{'lr': 0.007654234545888619, 'epsilon': 2.0000958842771276e-06}",77.734375,0.87890625,0.87890625,0.77734375,0.834884644,0.804665446,7.011484385,0.146565676
horses_or_humans,baseline_model,6,"{'lr': 0.009023508742758922, 'epsilon': 1.9125863242854922e-07}",85.15625,0.92578125,0.92578125,0.8515625,0.89251709,0.869738758,6.272402763,0.155766487
horses_or_humans,baseline_model,7,"{'lr': 0.008580970786310028, 'epsilon': 1.4388821953774792e-05}",79.6875,0.87890625,0.87890625,0.796875,0.839447021,0.809007704,6.220057011,0.150070667
horses_or_humans,baseline_model,8,"{'lr': 0.0003604497930899342, 'epsilon': 4.201074516194272e-07}",82.8125,0.91015625,0.91015625,0.828125,0.868682861,0.842693686,7.799577713,0.156660795
horses_or_humans,baseline_model,9,"{'lr': 0.01720094503040391, 'epsilon': 0.00011361344208783742}",74.21875,0.91015625,0.91015625,0.7421875,0.808181763,0.784141898,6.970705509,0.139019489
horses_or_humans,baseline_model,10,"{'lr': 0.006418239022158618, 'epsilon': 1.5584138005025876e-05}",80.859375,0.859375,0.859375,0.80859375,0.836151123,0.803251326,6.230870247,0.14902997
cmaterdb,lookAhead,1,"{'optimizer': 'adam', 'slow_step_size': 0.7647862815175239}",96.89999819,0.995999992,0.999888897,0.971887529,0.997511327,0.992611229,23.54341054,0.176899433
cmaterdb,lookAhead,2,"{'optimizer': 'adam', 'slow_step_size': 0.8699304949622211}",96.39999866,0.991999984,0.999555528,0.965829134,0.995368719,0.986867011,16.57952237,0.150585175
cmaterdb,lookAhead,3,"{'optimizer': 'adam', 'slow_step_size': 0.8042362002018103}",96.39999866,0.996999979,0.999777794,0.966867447,0.99788326,0.991525948,23.76182652,0.150759459
cmaterdb,lookAhead,4,"{'optimizer': 'adam', 'slow_step_size': 0.8671600053361498}",96.60000205,0.996999979,0.999888897,0.968844235,0.998014808,0.993281722,16.94809675,0.147652388
cmaterdb,lookAhead,5,"{'optimizer': 'adam', 'slow_step_size': 0.808167879677058}",97.20000029,0.995999992,0.999777794,0.972972989,0.997552335,0.992293417,23.132936,0.146199703
cmaterdb,lookAhead,6,"{'optimizer': 'adam', 'slow_step_size': 0.8848419048772239}",95.89999914,0.995999992,0.999777794,0.961885631,0.9973225,0.990391374,18.91018796,0.280834198
cmaterdb,lookAhead,7,"{'optimizer': 'adam', 'slow_step_size': 0.8863903510181979}",96.49999738,0.992999971,0.999555528,0.966900706,0.99567461,0.98594451,23.02373266,0.132751465
cmaterdb,lookAhead,8,"{'optimizer': 'adam', 'slow_step_size': 0.8736829331438289}",95.80000043,0.995000005,0.999777794,0.960882664,0.996693432,0.988609433,23.64356089,0.131948471
cmaterdb,lookAhead,9,"{'optimizer': 'adam', 'slow_step_size': 0.7815424238397632}",96.70000076,0.995999992,0.999666691,0.967903733,0.997254193,0.989159822,23.11189127,0.148713112
cmaterdb,lookAhead,10,"{'optimizer': 'adam', 'slow_step_size': 0.8007646316224448}",96.29999995,0.995000005,0.999777794,0.965829134,0.996951401,0.990810752,17.36864948,0.270125866
cmaterdb,lookAhead_improved,1,"{'sync_period': 2, 'slow_step_size': 0.8345726674610879}",95.09999752,1,1,0.960486293,0.999327064,0.994368672,23.57665563,0.145464659
cmaterdb,lookAhead_improved,2,"{'sync_period': 3, 'slow_step_size': 0.7823513314630096}",96.10000253,0.998000026,1,0.967644095,0.99830699,0.993219733,24.30531168,0.137994766
cmaterdb,lookAhead_improved,3,"{'sync_period': 4, 'slow_step_size': 0.8889500593450665}",95.80000043,0.999000013,1,0.965621829,0.998758733,0.993401766,23.51727319,0.138347864
cmaterdb,lookAhead_improved,4,"{'sync_period': 9, 'slow_step_size': 0.7290284063357376}",95.30000091,0.998000026,1,0.959636748,0.998053908,0.991241693,23.52324843,0.144656658
cmaterdb,lookAhead_improved,5,"{'sync_period': 7, 'slow_step_size': 0.853786753208347}",95.39999962,1,1,0.957532883,0.999107361,0.992666423,18.35363603,0.170562506
cmaterdb,lookAhead_improved,6,"{'sync_period': 3, 'slow_step_size': 0.8067047367962018}",95.20000219,0.998000026,1,0.957532883,0.997711003,0.988628685,18.65431261,0.159042597
cmaterdb,lookAhead_improved,7,"{'sync_period': 4, 'slow_step_size': 0.8783778102061082}",95.99999785,0.998000026,1,0.964610696,0.998152971,0.992045403,18.30189753,0.269135952
cmaterdb,lookAhead_improved,8,"{'sync_period': 7, 'slow_step_size': 0.8904023701055821}",96.20000124,0.999000013,1,0.966632962,0.998684764,0.992766976,23.48071122,0.145779371
cmaterdb,lookAhead_improved,9,"{'sync_period': 7, 'slow_step_size': 0.8056669471016703}",95.39999962,0.998000026,1,0.957788944,0.997998059,0.990714431,24.00620317,0.139900684
cmaterdb,lookAhead_improved,10,"{'sync_period': 3, 'slow_step_size': 0.8990494039382741}",95.49999833,1,1,0.960685492,0.999143779,0.993101478,18.2841332,0.130637169
cmaterdb,baseline_model,1,"{'lr': 0.007965361193008575, 'epsilon': 2.2177463128502473e-06}",96.60000205,0.994000018,0.999555528,0.966000021,0.996374846,0.988187134,22.20002341,0.14693141
cmaterdb,baseline_model,2,"{'lr': 0.016260748705591323, 'epsilon': 0.0009987129369015309}",95.70000172,0.985000014,0.998666644,0.957915843,0.99134016,0.972783267,22.82016134,0.142647743
cmaterdb,baseline_model,3,"{'lr': 0.008049597486121104, 'epsilon': 6.0571846330074055e-06}",95.59999704,0.98299998,0.998777807,0.956913829,0.990480542,0.973132908,15.34706163,0.197089911
cmaterdb,baseline_model,4,"{'lr': 0.010838885164021126, 'epsilon': 8.082581933723585e-07}",96.60000205,0.989000022,0.999444425,0.967839181,0.993819058,0.983742714,22.81495047,0.152716637
cmaterdb,baseline_model,5,"{'lr': 0.004756807799162329, 'epsilon': 9.157108775135408e-06}",96.70000076,0.995999992,0.999777794,0.971830964,0.99745667,0.991535485,22.3320148,0.150087357
cmaterdb,baseline_model,6,"{'lr': 0.005751791990126438, 'epsilon': 1.2399777947678162e-06}",95.99999785,0.992999971,0.999666691,0.963819087,0.995914638,0.988428712,22.95573235,0.152407885
cmaterdb,baseline_model,7,"{'lr': 0.010576275194119456, 'epsilon': 0.00022859950852549335}",95.59999704,0.991999984,0.999444425,0.955955982,0.995091081,0.983880162,22.32209992,0.134464741
cmaterdb,baseline_model,8,"{'lr': 0.00766218253206206, 'epsilon': 0.00010115228062232924}",95.89999914,0.98299998,0.998333335,0.962776661,0.990237117,0.96903199,22.36541724,0.13585186
cmaterdb,baseline_model,9,"{'lr': 0.00531844602666301, 'epsilon': 2.7374589068137235e-07}",96.20000124,0.985000014,0.998666644,0.962888658,0.991479993,0.974120259,22.29105997,0.137275696
cmaterdb,baseline_model,10,"{'lr': 0.008341425160865685, 'epsilon': 2.160132119873057e-05}",96.29999995,0.987999976,0.999111116,0.966800809,0.993169248,0.980115175,22.27913165,0.148536444
fashion_mnist,lookAhead,1,"{'optimizer': 'adam', 'slow_step_size': 0.7237656661887917}",78.79999876,0.998000026,0.995999992,0.846153855,0.978197873,0.865092635,4.32062912,0.10398221
fashion_mnist,lookAhead,2,"{'optimizer': 'adam', 'slow_step_size': 0.5867730774633473}",78.20000052,0.998000026,0.994888902,0.853597999,0.977033556,0.862342238,4.479862928,0.104769945
fashion_mnist,lookAhead,3,"{'optimizer': 'adam', 'slow_step_size': 0.8931359976191887}",76.39999986,0.995999992,0.996222198,0.828306258,0.976332664,0.858572602,7.026059389,0.128084421
fashion_mnist,lookAhead,4,"{'optimizer': 'adam', 'slow_step_size': 0.728319170981031}",79.19999957,0.991999984,0.99444443,0.855000019,0.974349678,0.85577029,7.010044098,0.115919828
fashion_mnist,lookAhead,5,"{'optimizer': 'adam', 'slow_step_size': 0.8477846719071963}",77.20000148,0.995999992,0.995999992,0.852731586,0.97796911,0.869512081,7.01774478,0.124009609
fashion_mnist,lookAhead,6,"{'optimizer': 'adam', 'slow_step_size': 0.7907235029425909}",79.79999781,0.994000018,0.996444464,0.858910918,0.977233768,0.870329618,5.085259199,0.132990837
fashion_mnist,lookAhead,7,"{'optimizer': 'adam', 'slow_step_size': 0.6678147117005948}",78.60000134,0.995999992,0.996444464,0.867346942,0.976746798,0.863164008,7.062144995,0.125884771
fashion_mnist,lookAhead,8,"{'optimizer': 'adam', 'slow_step_size': 0.6810066478456763}",78.20000052,0.99000001,0.99666667,0.863861382,0.975776494,0.871653855,5.209024668,0.130951643
fashion_mnist,lookAhead,9,"{'optimizer': 'adam', 'slow_step_size': 0.8833696758328153}",79.40000296,0.99000001,0.99666667,0.857831299,0.974756122,0.866008341,5.150806189,0.135204315
fashion_mnist,lookAhead,10,"{'optimizer': 'adam', 'slow_step_size': 0.8926610612595397}",79.79999781,0.994000018,0.996222198,0.84375,0.97849381,0.874271035,7.031172991,0.099826097
fashion_mnist,lookAhead_improved,1,"{'sync_period': 3, 'slow_step_size': 0.795698727432229}",77.3999989,0.994000018,0.994222224,0.858247399,0.973972023,0.847743988,6.051727772,0.130190134
fashion_mnist,lookAhead_improved,2,"{'sync_period': 4, 'slow_step_size': 0.5747547853834948}",78.79999876,0.994000018,0.99666667,0.846341491,0.976202726,0.862733483,5.666693926,0.106120348
fashion_mnist,lookAhead_improved,3,"{'sync_period': 4, 'slow_step_size': 0.7570426610156312}",77.3999989,0.995999992,0.99666667,0.8560794,0.977468431,0.866835952,7.331559896,0.100589991
fashion_mnist,lookAhead_improved,4,"{'sync_period': 10, 'slow_step_size': 0.8612864661762981}",78.39999795,0.994000018,0.995111108,0.855696201,0.973532259,0.847776234,6.252243757,0.125702381
fashion_mnist,lookAhead_improved,5,"{'sync_period': 2, 'slow_step_size': 0.8771518476271016}",79.40000296,0.995999992,0.99555558,0.884514451,0.976917267,0.86434257,5.456486702,0.107405424
fashion_mnist,lookAhead_improved,6,"{'sync_period': 4, 'slow_step_size': 0.7843945416718365}",77.99999714,0.995999992,0.995111108,0.865284979,0.975088656,0.855399728,7.388943434,0.129027605
